order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,feedback_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
5868326481,94140,2024-03-15 21:24:07,2024-03-15 21:21:07,-3.0,2.8,On Time,,9465932,37556526,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-03-15
2137046916,12377,2024-02-03 09:03:32,2024-02-03 09:01:32,-2.0,1.78,On Time,,8111644,12059049,4,"Overall good experience, thank you!",Customer Service,Positive,2024-02-03
8195544338,102,2023-04-26 04:20:57,2023-04-26 04:28:57,8.0,1.16,Slightly Delayed,Traffic,121425,26199489,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-04-26
2889700050,45032,2024-04-30 16:33:26,2024-04-30 16:36:26,3.0,3.07,On Time,Traffic,8267419,84848018,4,"Average experience, could improve.",Delivery,Neutral,2024-04-30
65827885,1108,2023-07-27 00:25:05,2023-07-27 00:20:05,-5.0,1.65,On Time,,7168244,47577193,1,Product was damaged during delivery.,Delivery,Negative,2023-07-27
4656471694,62782,2023-12-09 08:27:08,2023-12-09 08:35:08,8.0,3.7,Slightly Delayed,Traffic,2482108,60728956,3,Not worth the price I paid.,Customer Service,Negative,2023-12-09
6625178717,74906,2023-07-01 04:40:22,2023-07-01 04:53:22,13.0,4.22,Slightly Delayed,Traffic,3769939,62068277,2,Items were missing from my order.,Product Quality,Negative,2023-07-01
7169557514,79516,2023-03-21 05:38:13,2023-03-21 05:50:13,12.0,3.28,Slightly Delayed,Traffic,9592296,84824280,2,Customer service was not helpful.,Product Quality,Negative,2023-03-21
2268306684,65733,2024-05-28 15:11:08,2024-05-28 15:10:08,-1.0,1.82,On Time,,1592958,66742602,5,"Overall good experience, thank you!",Delivery,Positive,2024-05-28
6905293278,53868,2024-06-16 10:36:23,2024-06-16 11:02:23,26.0,0.58,Significantly Delayed,Traffic,2088819,97259564,3,"It was okay, nothing special.",Delivery,Neutral,2024-06-16
1769493463,22954,2024-06-26 07:29:47,2024-06-26 07:24:47,-5.0,1.21,On Time,,3567003,3292927,2,I had a bad experience.,App Experience,Negative,2024-06-26
5003387344,21004,2024-06-23 11:05:47,2024-06-23 11:00:47,-5.0,4.52,On Time,,2903160,26592009,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-06-23
2064484752,43022,2024-05-07 23:00:49,2024-05-07 22:55:49,-5.0,2.29,On Time,,7511717,89995124,3,The product met my expectations.,Customer Service,Neutral,2024-05-07
964822979,42914,2024-07-13 10:49:00,2024-07-13 10:47:00,-2.0,1.09,On Time,,1055307,88520326,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-07-13
6037899648,59131,2024-03-27 18:00:43,2024-03-27 18:04:43,4.0,4.56,On Time,Traffic,1477592,22738465,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-03-27
9347571484,88612,2024-11-02 17:26:15,2024-11-02 17:39:15,13.0,3.29,Slightly Delayed,Traffic,7898352,29562072,3,I had a bad experience.,Product Quality,Negative,2024-11-02
3286177534,90038,2023-06-25 00:09:15,2023-06-25 00:07:15,-2.0,3.07,On Time,,8804364,10225164,3,The product met my expectations.,Delivery,Neutral,2023-06-25
9073572548,28575,2023-05-02 23:25:42,2023-05-02 23:47:42,22.0,4.77,Significantly Delayed,Traffic,1208337,97111069,4,The product met my expectations.,Customer Service,Neutral,2023-05-02
8395583761,84816,2024-08-04 23:53:44,2024-08-04 23:48:44,-5.0,3.53,On Time,,4382390,1989720,4,Great prices and fast delivery!,App Experience,Positive,2024-08-04
6355378227,23910,2023-08-11 17:06:36,2023-08-11 17:05:36,-1.0,3.91,On Time,,4858018,67092149,4,"Overall good experience, thank you!",Customer Service,Positive,2023-08-11
277376321,78589,2024-07-28 04:45:12,2024-07-28 04:44:12,-1.0,3.85,On Time,,2400571,89784343,4,Great prices and fast delivery!,App Experience,Positive,2024-07-28
8559748526,93002,2023-04-05 18:27:19,2023-04-05 18:28:19,1.0,0.94,On Time,Traffic,3093140,45868300,4,"Average experience, could improve.",App Experience,Neutral,2023-04-05
1458051433,61040,2024-04-26 09:30:56,2024-04-26 09:26:56,-4.0,2.75,On Time,,9407783,50760752,4,The product met my expectations.,App Experience,Neutral,2024-04-26
5838302640,30907,2023-05-12 06:02:25,2023-05-12 06:09:25,7.0,1.7,Slightly Delayed,Traffic,1180902,96795047,4,"It was okay, nothing special.",App Experience,Neutral,2023-05-12
1380971977,52614,2024-06-02 13:21:55,2024-06-02 13:16:55,-5.0,4.09,On Time,,6888502,16561710,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-06-02
1221099013,60689,2023-07-23 11:01:59,2023-07-23 11:03:59,2.0,3.15,On Time,Traffic,8679241,35156679,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2023-07-23
6771166303,98179,2023-07-24 04:36:07,2023-07-24 04:48:07,12.0,2.55,Slightly Delayed,Traffic,7512781,87718744,3,The order was incorrect.,Product Quality,Negative,2023-07-24
7111337755,84833,2023-05-06 06:07:44,2023-05-06 06:04:44,-3.0,3.44,On Time,,5356601,10524732,4,"Average experience, could improve.",Customer Service,Neutral,2023-05-06
5562922993,73904,2023-12-06 02:14:19,2023-12-06 02:17:19,3.0,1.64,On Time,Traffic,9043273,62416456,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-12-06
5630957897,14408,2024-06-18 07:32:42,2024-06-18 07:36:42,4.0,3.92,On Time,Traffic,3470106,69925688,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-06-18
1787380558,95835,2023-11-08 17:43:58,2023-11-08 17:45:58,2.0,2.8,On Time,Traffic,5957700,5140660,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2023-11-08
32613017,77303,2023-03-17 00:36:41,2023-03-17 00:36:41,0.0,4.0,On Time,,8956798,82594354,5,"Excellent quality, will buy again!",Delivery,Positive,2023-03-17
2039041670,31963,2024-11-01 10:05:47,2024-11-01 10:20:47,15.0,2.12,Slightly Delayed,Traffic,4843776,88324928,4,"Average experience, could improve.",Product Quality,Neutral,2024-11-01
210693801,14789,2024-08-21 04:10:25,2024-08-21 04:12:25,2.0,2.5,On Time,Traffic,8241448,71235336,3,Product was damaged during delivery.,Customer Service,Negative,2024-08-21
8120002258,61526,2024-01-01 00:15:08,2024-01-01 00:11:08,-4.0,2.43,On Time,,1664531,57833505,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-01-01
2177917034,75636,2024-02-08 20:16:51,2024-02-08 20:25:51,9.0,0.73,Slightly Delayed,Traffic,4940244,12402437,5,Will definitely order again.,App Experience,Positive,2024-02-08
4254814926,1761,2024-04-21 06:34:58,2024-04-21 06:33:58,-1.0,1.74,On Time,,7165598,59890331,3,The packaging was poor.,App Experience,Negative,2024-04-21
6074172790,3481,2023-07-26 02:26:37,2023-07-26 02:30:37,4.0,2.48,On Time,Traffic,4424806,14944819,4,Good selection of products.,Customer Service,Positive,2023-07-26
3381573131,50582,2024-07-16 00:47:21,2024-07-16 00:42:21,-5.0,4.91,On Time,,2074845,67386193,1,Delivery was late and I was unhappy.,Delivery,Negative,2024-07-16
3773745777,97135,2024-05-02 14:58:25,2024-05-02 14:58:25,0.0,3.31,On Time,,417728,67701771,4,"It was okay, nothing special.",Customer Service,Neutral,2024-05-02
9251939156,57095,2023-12-30 12:51:53,2023-12-30 12:58:53,7.0,2.35,Slightly Delayed,Traffic,5642561,89910157,4,"Overall good experience, thank you!",App Experience,Positive,2023-12-30
3872982303,60234,2024-02-03 01:24:33,2024-02-03 01:25:33,1.0,2.6,On Time,Traffic,261554,15484407,4,"It was okay, nothing special.",Delivery,Neutral,2024-02-03
2625987757,51273,2023-08-01 07:54:43,2023-08-01 07:56:43,2.0,4.7,On Time,Traffic,1822011,10769994,3,"It was okay, nothing special.",Delivery,Neutral,2023-08-01
3162249401,47552,2024-05-03 13:31:58,2024-05-03 13:31:58,0.0,1.72,On Time,,4763044,85519349,4,"Excellent quality, will buy again!",Delivery,Positive,2024-05-03
3108986741,60867,2023-10-17 19:43:19,2023-10-17 19:44:19,1.0,2.09,On Time,Traffic,5621837,49241309,3,Product was damaged during delivery.,Product Quality,Negative,2023-10-17
1851474741,12879,2023-11-01 13:42:17,2023-11-01 13:51:17,9.0,4.09,Slightly Delayed,Traffic,4571579,23348269,2,The order was incorrect.,Product Quality,Negative,2023-11-01
2425099132,44245,2023-08-15 01:30:08,2023-08-15 01:34:08,4.0,1.07,On Time,Traffic,3853657,85016568,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2023-08-15
6706793332,76503,2024-10-09 22:04:33,2024-10-09 22:16:33,12.0,2.99,Slightly Delayed,Traffic,7245923,6247821,2,I had a bad experience.,Delivery,Negative,2024-10-09
2149289255,25251,2024-11-01 15:20:29,2024-11-01 15:39:29,19.0,2.56,Significantly Delayed,Traffic,2338813,57579640,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-11-01
1971008155,30330,2023-10-23 22:43:41,2023-10-23 22:39:41,-4.0,0.86,On Time,,2222062,2457734,1,Items were missing from my order.,App Experience,Negative,2023-10-23
2087093460,27478,2024-07-11 11:42:57,2024-07-11 11:41:57,-1.0,0.77,On Time,,6813661,59329145,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-07-11
2116712588,34078,2023-11-11 20:48:38,2023-11-11 20:51:38,3.0,4.26,On Time,Traffic,4065309,24043135,3,"It was okay, nothing special.",Delivery,Neutral,2023-11-11
6054358790,52564,2024-01-26 10:31:06,2024-01-26 10:26:06,-5.0,3.96,On Time,,3025076,59216664,3,"Average experience, could improve.",Product Quality,Neutral,2024-01-26
532660797,97547,2024-05-20 06:37:18,2024-05-20 06:51:18,14.0,4.9,Slightly Delayed,Traffic,9329920,41008070,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-05-20
1491991005,85285,2024-03-04 09:01:03,2024-03-04 09:01:03,0.0,0.89,On Time,,1307363,52215833,3,Very disappointed with the quality.,Product Quality,Negative,2024-03-04
4136019599,34667,2024-03-23 18:52:14,2024-03-23 18:55:14,3.0,4.58,On Time,Traffic,1930153,74179536,4,"Excellent quality, will buy again!",App Experience,Positive,2024-03-23
2122832513,39396,2024-02-17 19:58:14,2024-02-17 20:18:14,20.0,3.97,Significantly Delayed,Traffic,5614682,55028958,1,Customer service was not helpful.,Customer Service,Negative,2024-02-17
3717703595,8041,2023-04-24 21:52:02,2023-04-24 21:51:02,-1.0,2.48,On Time,,6784407,88965399,4,"Excellent quality, will buy again!",Delivery,Positive,2023-04-24
3194733693,16623,2023-07-05 10:30:13,2023-07-05 10:37:13,7.0,1.74,Slightly Delayed,Traffic,2013422,21866852,4,The product met my expectations.,Product Quality,Neutral,2023-07-05
4471162437,54708,2024-02-06 12:52:50,2024-02-06 12:52:50,0.0,3.78,On Time,,344048,27971619,4,"It was okay, nothing special.",App Experience,Neutral,2024-02-06
1609331948,58721,2024-01-04 14:19:21,2024-01-04 14:19:21,0.0,1.56,On Time,,3089818,8791577,3,"It was okay, nothing special.",Product Quality,Neutral,2024-01-04
6920030794,38745,2024-06-24 02:51:36,2024-06-24 02:49:36,-2.0,3.47,On Time,,5340615,70372270,3,The packaging was poor.,Customer Service,Negative,2024-06-24
5127172657,80034,2024-06-11 18:30:31,2024-06-11 18:50:31,20.0,4.41,Significantly Delayed,Traffic,8229982,32293017,4,"Overall good experience, thank you!",Product Quality,Positive,2024-06-11
8607115856,85718,2023-10-09 04:52:34,2023-10-09 04:49:34,-3.0,2.33,On Time,,2195625,15931134,4,The product met my expectations.,Customer Service,Neutral,2023-10-09
7154957395,63099,2023-04-09 10:21:33,2023-04-09 10:21:33,0.0,2.28,On Time,,4371570,60700850,3,"It was okay, nothing special.",App Experience,Neutral,2023-04-09
2070762702,64950,2023-10-04 10:37:55,2023-10-04 10:52:55,15.0,3.61,Slightly Delayed,Traffic,7289033,34761418,4,"Excellent quality, will buy again!",Product Quality,Positive,2023-10-04
3697242439,67408,2024-10-15 12:47:13,2024-10-15 12:46:13,-1.0,4.71,On Time,,2978291,99361865,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2024-10-15
3063427913,24100,2023-09-21 02:34:46,2023-09-21 02:37:46,3.0,4.76,On Time,Traffic,9074696,75984768,4,"Excellent quality, will buy again!",Customer Service,Positive,2023-09-21
2060061337,50748,2023-04-15 23:10:08,2023-04-15 23:22:08,12.0,3.08,Slightly Delayed,Traffic,4994827,29272253,1,Customer service was not helpful.,App Experience,Negative,2023-04-15
4625892678,40337,2023-06-18 19:35:45,2023-06-18 19:39:45,4.0,2.74,On Time,Traffic,1932712,80371626,1,The packaging was poor.,Delivery,Negative,2023-06-18
6045698170,16848,2024-01-24 17:14:49,2024-01-24 17:19:49,5.0,3.86,On Time,Traffic,5568145,666589,5,Great prices and fast delivery!,Delivery,Positive,2024-01-24
7876289647,28786,2024-08-07 08:06:29,2024-08-07 08:18:29,12.0,2.54,Slightly Delayed,Traffic,8266029,98858383,4,The product met my expectations.,Delivery,Neutral,2024-08-07
3434084714,58201,2024-02-02 03:06:20,2024-02-02 03:04:20,-2.0,3.51,On Time,,7621707,46836361,4,Highly recommended!,Product Quality,Positive,2024-02-02
9031695663,43200,2024-01-17 01:35:06,2024-01-17 01:41:06,6.0,3.71,Slightly Delayed,Traffic,545267,94730288,2,The packaging was poor.,App Experience,Negative,2024-01-17
1955989715,8135,2023-12-27 07:06:23,2023-12-27 07:08:23,2.0,4.81,On Time,Traffic,2056599,77862447,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-12-27
3459500455,20504,2023-12-18 00:52:55,2023-12-18 00:54:55,2.0,2.66,On Time,Traffic,2265740,16379942,4,Great prices and fast delivery!,Customer Service,Positive,2023-12-18
5953376503,34929,2024-05-25 04:08:54,2024-05-25 04:24:54,16.0,0.56,Significantly Delayed,Traffic,2438008,79169760,5,Customer service was very helpful.,Customer Service,Positive,2024-05-25
121874867,69733,2023-03-28 01:10:55,2023-03-28 01:05:55,-5.0,3.08,On Time,,7517891,94529626,5,"Overall good experience, thank you!",Delivery,Positive,2023-03-28
2460545397,50527,2024-10-27 11:38:03,2024-10-27 11:49:03,11.0,2.53,Slightly Delayed,Traffic,5506466,42872865,3,The product met my expectations.,Product Quality,Neutral,2024-10-27
9690050839,76868,2024-01-13 02:44:24,2024-01-13 02:49:24,5.0,3.82,On Time,Traffic,9785308,55803572,4,The product met my expectations.,App Experience,Neutral,2024-01-13
2574349065,406,2024-04-17 14:43:32,2024-04-17 14:44:32,1.0,1.72,On Time,Traffic,3562195,51547198,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-04-17
2461936988,77590,2023-07-20 23:29:57,2023-07-20 23:48:57,19.0,4.4,Significantly Delayed,Traffic,1736546,14428954,5,"Overall good experience, thank you!",App Experience,Positive,2023-07-20
6447596416,45656,2023-10-08 18:30:29,2023-10-08 18:26:29,-4.0,4.27,On Time,,8067827,76987910,4,Good selection of products.,Customer Service,Positive,2023-10-08
7228452275,96211,2023-05-13 01:25:33,2023-05-13 01:25:33,0.0,4.62,On Time,,5597699,42262168,2,Product was damaged during delivery.,App Experience,Negative,2023-05-13
6696750742,89976,2023-04-02 17:54:16,2023-04-02 17:54:16,0.0,4.39,On Time,,7041781,5277675,5,"Overall good experience, thank you!",App Experience,Positive,2023-04-02
822235931,1773,2023-08-09 07:27:16,2023-08-09 07:42:16,15.0,1.42,Slightly Delayed,Traffic,2333633,44410149,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,2023-08-09
7678251499,60822,2023-04-23 13:37:40,2023-04-23 13:42:40,5.0,1.85,On Time,Traffic,8661092,17805991,2,Taste was not as expected.,Product Quality,Negative,2023-04-23
2497341976,42711,2023-09-21 09:19:49,2023-09-21 09:20:49,1.0,1.33,On Time,Traffic,6765334,9097480,1,Not worth the price I paid.,App Experience,Negative,2023-09-21
9107314128,21125,2024-05-20 16:37:17,2024-05-20 16:36:17,-1.0,2.2,On Time,,1452437,79591237,2,I had a bad experience.,App Experience,Negative,2024-05-20
9855726256,59743,2023-05-17 08:05:53,2023-05-17 08:03:53,-2.0,0.96,On Time,,1280305,8651281,4,"Excellent quality, will buy again!",App Experience,Positive,2023-05-17
9398719862,4852,2024-07-19 09:40:31,2024-07-19 09:44:31,4.0,0.85,On Time,Traffic,2395160,14991661,1,Customer service was not helpful.,Delivery,Negative,2024-07-19
379494532,99227,2024-07-07 13:42:33,2024-07-07 13:44:33,2.0,3.39,On Time,Traffic,5664217,9650263,5,Very happy with the service!,Customer Service,Positive,2024-07-07
1048784963,35552,2023-09-07 13:35:38,2023-09-07 13:30:38,-5.0,2.18,On Time,,9261384,58942207,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-09-07
4386246924,56384,2024-08-27 10:26:15,2024-08-27 10:52:15,26.0,3.44,Significantly Delayed,Traffic,2930893,69632084,3,Very disappointed with the quality.,Delivery,Negative,2024-08-27
2050362692,16076,2024-10-30 11:36:04,2024-10-30 11:39:04,3.0,3.48,On Time,Traffic,7046969,79991320,3,The product met my expectations.,Customer Service,Neutral,2024-10-30
4142963293,74308,2024-11-03 04:04:46,2024-11-03 04:07:46,3.0,1.26,On Time,Traffic,29533,34567918,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-11-03
9753528654,63454,2024-07-26 07:35:16,2024-07-26 07:33:16,-2.0,1.84,On Time,,5840376,61522288,3,The product met my expectations.,Product Quality,Neutral,2024-07-26
8126970833,83636,2024-09-14 20:41:40,2024-09-14 21:07:40,26.0,1.13,Significantly Delayed,Traffic,1755551,14161586,4,"Average experience, could improve.",Delivery,Neutral,2024-09-14
9747814712,33342,2023-12-16 15:52:05,2023-12-16 15:55:05,3.0,1.23,On Time,Traffic,6078718,16359370,5,"Overall good experience, thank you!",Product Quality,Positive,2023-12-16
6281619403,12086,2023-04-09 19:15:42,2023-04-09 19:10:42,-5.0,4.51,On Time,,6559425,77921718,5,"Overall good experience, thank you!",Customer Service,Positive,2023-04-09
436184281,59936,2023-11-20 12:55:18,2023-11-20 13:22:18,27.0,0.74,Significantly Delayed,Traffic,4075651,78614729,2,Taste was not as expected.,App Experience,Negative,2023-11-20
9799231260,58378,2024-03-07 09:17:56,2024-03-07 09:21:56,4.0,0.9,On Time,Traffic,4329893,22077605,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-03-07
4071811527,27993,2023-07-26 15:51:48,2023-07-26 16:00:48,9.0,2.39,Slightly Delayed,Traffic,6376860,66023110,4,Will definitely order again.,Customer Service,Positive,2023-07-26
5645359563,45180,2024-08-08 23:45:23,2024-08-08 23:40:23,-5.0,4.78,On Time,,4848501,87160527,2,Delivery was late and I was unhappy.,App Experience,Negative,2024-08-08
9411813703,32773,2023-09-25 23:11:09,2023-09-25 23:16:09,5.0,0.65,On Time,Traffic,3953251,62600289,3,Items were missing from my order.,Delivery,Negative,2023-09-25
4270217473,4904,2024-02-01 09:02:55,2024-02-01 09:02:55,0.0,1.23,On Time,,9293552,54580166,4,The product met my expectations.,Customer Service,Neutral,2024-02-01
279851011,73623,2023-04-11 09:58:14,2023-04-11 09:57:14,-1.0,4.34,On Time,,9483364,12967305,3,"Average experience, could improve.",Delivery,Neutral,2023-04-11
6260524887,22883,2024-06-01 07:00:44,2024-06-01 06:56:44,-4.0,3.76,On Time,,5154122,57081917,5,Great prices and fast delivery!,Delivery,Positive,2024-06-01
5853998391,23606,2023-09-08 02:58:14,2023-09-08 02:55:14,-3.0,4.67,On Time,,1883777,94453274,3,Very disappointed with the quality.,Delivery,Negative,2023-09-08
9931976872,97297,2024-06-24 05:32:20,2024-06-24 05:28:20,-4.0,3.03,On Time,,4156770,8955057,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-06-24
8432209832,18907,2024-03-20 03:42:23,2024-03-20 03:54:23,12.0,4.17,Slightly Delayed,Traffic,6999355,90346920,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-03-20
6023721507,72197,2024-04-07 00:36:29,2024-04-07 00:35:29,-1.0,2.05,On Time,,8680329,8791577,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2024-04-07
3042338919,70995,2023-05-17 15:05:39,2023-05-17 15:02:39,-3.0,1.33,On Time,,3483069,76212152,3,"It was okay, nothing special.",Delivery,Neutral,2023-05-17
233646065,56968,2023-09-19 22:43:29,2023-09-19 22:48:29,5.0,4.89,On Time,Traffic,3662619,16379942,4,"Average experience, could improve.",Delivery,Neutral,2023-09-19
9870610018,44706,2024-02-08 05:36:21,2024-02-08 05:35:21,-1.0,0.86,On Time,,4364701,94033330,2,Customer service was not helpful.,Product Quality,Negative,2024-02-08
1398230967,92744,2024-04-22 10:13:26,2024-04-22 10:09:26,-4.0,4.81,On Time,,4844693,46876240,1,The packaging was poor.,App Experience,Negative,2024-04-22
8615488922,1328,2023-11-04 00:21:14,2023-11-04 00:42:14,21.0,3.94,Significantly Delayed,Traffic,1300567,92209869,4,Very fresh and well-packaged.,Product Quality,Positive,2023-11-04
2748841057,11008,2023-12-30 05:19:21,2023-12-30 05:43:21,24.0,0.84,Significantly Delayed,Traffic,5430155,33544355,3,The product met my expectations.,Delivery,Neutral,2023-12-30
1375867721,21511,2024-07-15 17:08:54,2024-07-15 17:05:54,-3.0,4.45,On Time,,3233069,4862761,1,Customer service was not helpful.,Delivery,Negative,2024-07-15
8595141097,19332,2024-03-31 10:36:16,2024-03-31 10:39:16,3.0,4.33,On Time,Traffic,3246894,96511007,4,Will definitely order again.,Product Quality,Positive,2024-03-31
4673382071,97477,2024-01-16 13:40:12,2024-01-16 13:49:12,9.0,4.9,Slightly Delayed,Traffic,6084184,21784094,3,"Average experience, could improve.",Delivery,Neutral,2024-01-16
2948696008,89164,2024-04-10 10:22:48,2024-04-10 10:19:48,-3.0,2.28,On Time,,8458237,51872499,2,Customer service was not helpful.,Customer Service,Negative,2024-04-10
6839692624,44627,2023-11-19 02:10:50,2023-11-19 02:35:50,25.0,1.17,Significantly Delayed,Traffic,5909067,64497538,1,I had a bad experience.,Delivery,Negative,2023-11-19
5770951298,4946,2023-10-02 18:23:57,2023-10-02 18:21:57,-2.0,0.95,On Time,,929702,75510747,5,Items were in perfect condition.,Delivery,Positive,2023-10-02
5084771819,66403,2024-08-29 22:05:24,2024-08-29 22:18:24,13.0,1.37,Slightly Delayed,Traffic,6892019,6344345,4,The product met my expectations.,App Experience,Neutral,2024-08-29
422403644,23782,2023-05-27 23:46:14,2023-05-27 23:54:14,8.0,0.56,Slightly Delayed,Traffic,6001815,56548063,2,The packaging was poor.,App Experience,Negative,2023-05-27
7176758896,75492,2023-07-13 13:00:53,2023-07-13 13:01:53,1.0,2.94,On Time,Traffic,3856968,18394558,4,"It was okay, nothing special.",Delivery,Neutral,2023-07-13
8252905093,40596,2024-04-21 23:29:31,2024-04-21 23:30:31,1.0,3.25,On Time,Traffic,7342761,42589311,5,Great prices and fast delivery!,Customer Service,Positive,2024-04-21
1488561572,31495,2024-08-27 08:32:40,2024-08-27 08:31:40,-1.0,2.51,On Time,,6301325,75928073,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2024-08-27
6212984517,15665,2024-03-16 22:05:29,2024-03-16 22:03:29,-2.0,1.27,On Time,,175550,72702075,4,Will definitely order again.,Customer Service,Positive,2024-03-16
6309784337,23009,2024-05-06 17:53:10,2024-05-06 17:53:10,0.0,4.05,On Time,,3584525,26250082,2,Delivery was late and I was unhappy.,Delivery,Negative,2024-05-06
4613890018,82638,2023-10-24 13:00:17,2023-10-24 13:00:17,0.0,3.82,On Time,,4434255,53538932,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-10-24
3429728472,77476,2023-03-31 08:48:30,2023-03-31 08:57:30,9.0,1.25,Slightly Delayed,Traffic,2332501,64017365,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-03-31
267738904,73022,2023-10-24 23:24:36,2023-10-24 23:38:36,14.0,4.28,Slightly Delayed,Traffic,529507,63368244,5,"Overall good experience, thank you!",Product Quality,Positive,2023-10-24
3850416839,32659,2024-07-01 02:23:28,2024-07-01 02:36:28,13.0,1.32,Slightly Delayed,Traffic,3049810,57081917,4,"Average experience, could improve.",App Experience,Neutral,2024-07-01
3412702479,35140,2023-12-24 07:46:20,2023-12-24 07:51:20,5.0,1.11,On Time,Traffic,5808553,86479284,4,"Overall good experience, thank you!",App Experience,Positive,2023-12-24
2016183232,38755,2023-07-19 04:35:07,2023-07-19 04:46:07,11.0,1.63,Slightly Delayed,Traffic,2917013,44928499,4,"Excellent quality, will buy again!",Customer Service,Positive,2023-07-19
3810280204,70290,2023-10-26 18:06:28,2023-10-26 18:10:28,4.0,0.75,On Time,Traffic,1159860,84361534,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,2023-10-26
2416767295,28144,2024-07-05 03:50:54,2024-07-05 03:59:54,9.0,1.13,Slightly Delayed,Traffic,8809496,767523,3,The packaging was poor.,Customer Service,Negative,2024-07-05
